batch	n_cells	guide_umi_median	guide_umi_mean	guide_umi_std	guide_umi_min	guide_umi_max	guide_umi_q25	guide_umi_q75	guides_per_cell_mean	guides_per_cell_std	guides_per_cell_min	guides_per_cell_max	guides_per_cell_median	n_cells_with_guide	n_cells_exactly_1_guide	frac_cells_with_guide	n_guides_total	cells_per_guide_median	cells_per_guide_mean	cells_per_guide_std	cells_per_guide_min	cells_per_guide_max
E4_S36	23534	714.0	1150.9524092801903	1283.6151566004773	16.0	20687.0	179.0	1674.75	2.087150505651398	1.8262412756331283	0	15	2.0	18654	5569	0.7926404351151526						
E5_S37	23332	425.0	688.5802331561804	780.0772767792654	10.0	10314.0	114.0	995.25	1.8928938796502657	1.680662275055018	0	14	2.0	17988	5775	0.7709583404765986						
E6_S38	24073	659.0	1068.968927844473	1209.7813627997355	1.0	23510.0	174.0	1541.0	2.1029784405765795	1.8639292249016457	0	18	2.0	19222	5710	0.7984879325385287						
E7_S39	21704	585.0	907.0586988573535	998.5191334211946	18.0	19506.0	160.0	1308.0	2.040591596019167	1.7477052154096002	0	12	2.0	17338	5307	0.7988389237007003						
E8_S40	22687	729.0	1121.0983382553886	1221.4208214031778	18.0	17627.0	207.0	1618.0	2.1783840966192094	1.824740583285106	0	15	2.0	18524	5267	0.8165028430378631						
F1_S41	11148	139.0	190.88042698241838	190.41722794162783	1.0	2409.0	43.0	276.0	1.3523501973448153	1.2607470514469135	0	9	1.0	7858	3524	0.7048797990670972						
F2_S42	10678	121.0	175.73178497846038	187.2664598039834	1.0	2534.0	37.0	254.0	1.2854467128675782	1.222925709256516	0	10	1.0	7399	3481	0.6929200224761192						
F3_S43	11979	121.0	174.36171633692294	184.01320164766392	1.0	3533.0	39.0	247.0	1.2683028633441857	1.2105754637839645	0	10	1.0	8291	4027	0.6921278904749979						
F4_S44	15149	147.0	212.27467159548485	219.05211154890884	2.0	4592.0	46.0	311.0	1.4132285959469273	1.2994176395976214	0	9	1.0	10939	4856	0.7220938675820187						
F5_S45	14709	134.0	192.98993813311577	201.33269816790008	2.0	2684.0	42.0	277.0	1.3360527568155551	1.2448395306634128	0	10	1.0	10419	4790	0.7083418315317153						
F6_S46	15129	137.0	196.09815585960737	202.90770130394213	3.0	3296.0	44.0	281.0	1.355938925242911	1.265994155169466	0	9	1.0	10721	4878	0.7086390376098883						
F7_S47	15069	127.0	181.31880018581194	182.90595370420598	3.0	2155.0	42.0	263.0	1.306788771650408	1.2301709828221896	0	9	1.0	10578	4988	0.7019709337049572						
